uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,image,wgt,relevance,source.uri,source.dataType,source.title,sentiment,eventUri,feed date
8330531150,eng,True,2024-09-21,04:52:16,2024-09-21T04:52:16Z,2024-09-21T04:52:00Z,news,0.0,https://www.asiaone.com/world/kamala-harris-very-proud-have-taylor-swifts-endorsement,AsiaOne,"Kamala Harris respects Taylor Swift's courage in endorsing her for US President.

The current Vice President and Democratic nominee for President in the upcoming elections was thrilled when Taylor ...",[],https://media.asiaone.com/sites/default/files/styles/article_top_image/public/original_images/Sep2024/21924_taylor_yt.jpg?itok=rhLwtHrn,464590336,1,asiaone.com,news,AsiaOne,0.5137,,2024-09-21
8330527676,eng,False,2024-09-21,04:48:05,2024-09-21T04:48:05Z,2024-09-21T04:47:23Z,news,0.0,https://srilankamirror.com/news/2024-prez-polls-how-to-vote-dos-and-donts/,"2024 Prez polls : How to vote, Dos and Don'ts","Voting for the 2024 presidential election began at 7.00 am today (Sep. 21) and will continue until 4.00pm.

How to vote :

According to the Election commission, the 'mark X' as well as the Arabic ...",[],https://srilankamirror.com/wp-content/uploads/2023/01/LG_Election_1200px_21_01_23-1000x600.jpg,464590085,1,srilankamirror.com,news,Sri Lanka Mirror,0.051,,2024-09-21
8330516800,eng,True,2024-09-21,04:32:27,2024-09-21T04:32:27Z,2024-09-21T04:31:35Z,news,0.0,https://www.bernama.com/en/world/news.php/?id=2342684,Indonesia's Prabowo Meets Philippine President Marcos,"JAKARTA, Sept 21 (Bernama) -- Indonesian Defence Minister Prabowo Subianto met with Philippine President Ferdinand Marcos Jr. at Malacañang Palace in Manila on Friday, highlighting Indonesia's view ...",[],https://www.bernama.com/storage/photos/a6096b662a6aea4313cb30e902a8310966ee43abb4f80,464589147,1,bernama.com,news,BERNAMA,0.5843,,2024-09-21
2024-09-491780071,eng,True,2024-09-21,04:29:26,2024-09-21T04:29:26Z,2024-09-21T04:29:12Z,news,0.0,https://foxwilmington.com/harris-adviser-brushes-off-lack-of-interviews-shes-a-very-busy-person/,Harris adviser brushes off lack of interviews: 'She's a very busy person',"Harris-Walz campaign senior adviser Keisha Lance Bottoms defended the relatively small number of unscripted media appearances done by Vice President Kamala Harris.

A senior adviser for Vice President ...","{'uri': ['joseph_wulfsohn@foxwilmington.com'], 'name': ['Joseph Wulfsohn'], 'type': ['author'], 'isAgency': [False]}",https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2024/09/1024/512/Harris-Walz-adviser.png?ve=1&tl=1,464588966,1,foxwilmington.com,news,foxwilmington.com,0.0667,,2024-09-21
8330513451,eng,False,2024-09-21,04:26:17,2024-09-21T04:26:17Z,2024-09-21T04:25:48Z,news,0.0,https://www.christianpost.com/news/4-political-family-rifts-ahead-of-the-2024-presidential-election.html,4 political family rifts ahead of the 2024 presidential election,"Ahead of the 2024 presidential election, the political polarization that has come to define American politics has extended into the families of the major candidates.

While relatives of presidential ...",[],https://cdn.christianpost.com/files/original/thumbnail/26/13/261399.jpg,464588777,1,christianpost.com,news,The Christian Post,0.2863,,2024-09-21
8330508310,eng,False,2024-09-21,04:17:50,2024-09-21T04:17:50Z,2024-09-21T04:17:29Z,news,0.0,https://www.juancole.com/2024/09/american-dream-support.html,The American Dream isn't Dead; but it's on Life Support,"Portland, Or. (Special to Informed Comment; Feature) - In the run-up to the 2024 Presidential election, the concept of the American Dream has become more central than ever to our national discourse. ...",[],https://media.juancole.com/images/2024/09/9781523007288_FC1.jpeg,464588270,1,juancole.com,news,Informed Comment,0.2784,,2024-09-21
2024-09-491772595,eng,True,2024-09-21,04:15:23,2024-09-21T04:15:23Z,2024-09-21T04:14:57Z,news,0.0,https://www.wlsam.com/news/matt-schlapp-to-newsmax-voters-see-govt-programs-as-problem/,Matt Schlapp to Newsmax: Voters See Govt Programs as Problem,"CPAC Chair Matt Schlapp told Newsmax on Friday that as the race for the presidency tightens, the American people know that ""government programs are causing their problems.""

With the 2024 presidential ...",[],https://cdn.socast.io/6616/sites/353/2017/09/29114551/wlsam_opengraph-general_1200x630_01.jpg,464588123,1,wlsam.com,news,WLS-AM 890 | WLS-AM,-0.098,,2024-09-21
2024-09-491772594,eng,True,2024-09-21,04:15:20,2024-09-21T04:15:20Z,2024-09-21T04:14:57Z,news,0.0,https://www.wlsam.com/news/local-teamsters-chapters-endorse-harris/,Local Teamsters Chapters Endorse Harris,"After the main Teamsters union declined to endorse either candidate in the 2024 presidential election, local units decided to make their voices heard.

Nearly 24 local Teamsters unions and joint ...",[],https://cdn.socast.io/6616/sites/353/2017/09/29114551/wlsam_opengraph-general_1200x630_01.jpg,464588120,1,wlsam.com,news,WLS-AM 890 | WLS-AM,0.0431,,2024-09-21
2024-09-491770070,eng,True,2024-09-21,04:11:36,2024-09-21T04:11:36Z,2024-09-21T04:11:07Z,news,0.0,https://www.wmal.com/news/matt-schlapp-to-newsmax-voters-see-govt-programs-as-problem/,Matt Schlapp to Newsmax: Voters See Govt Programs as Problem,"CPAC Chair Matt Schlapp told Newsmax on Friday that as the race for the presidency tightens, the American people know that ""government programs are causing their problems.""

With the 2024 presidential ...",[],https://cdn.socast.io/6616/sites/238/2022/02/04092822/WMAL-FM-Social.jpg,464587896,1,wmal.com,news,WMAL-FM,-0.098,,2024-09-21
2024-09-491770069,eng,True,2024-09-21,04:11:31,2024-09-21T04:11:31Z,2024-09-21T04:11:07Z,news,0.0,https://www.wmal.com/news/local-teamsters-chapters-endorse-harris/,Local Teamsters Chapters Endorse Harris,"After the main Teamsters union declined to endorse either candidate in the 2024 presidential election, local units decided to make their voices heard.

Nearly 24 local Teamsters unions and joint ...",[],https://cdn.socast.io/6616/sites/238/2022/02/04092822/WMAL-FM-Social.jpg,464587891,1,wmal.com,news,WMAL-FM,0.0431,,2024-09-21
8330499632,eng,False,2024-09-21,04:06:44,2024-09-21T04:06:44Z,2024-09-21T04:06:30Z,news,0.6902,https://resistthemainstream.com/kamala-harris-team-breaks-silence-on-her-lack-of-media-coverage/,Kamala Harris' Team Breaks Silence on Her Lack of Media Coverage,"Vice President Kamala Harris' campaign team is facing mounting criticism for her limited media engagement, as a senior adviser attempts to downplay concerns by citing the candidate's busy ...","{'uri': ['anthony_gonzalez@resistthemainstream.com'], 'name': ['Anthony Gonzalez'], 'type': ['author'], 'isAgency': [False]}",https://resistthemainstream.com/wp-content/uploads/2024/09/Untitled-design-16-1.png,464587604,1,resistthemainstream.com,news,Resist the Mainstream,0.0824,eng-9924274,2024-09-21
8330497524,eng,False,2024-09-21,04:04:09,2024-09-21T04:04:09Z,2024-09-21T04:03:55Z,news,0.6784,https://www.wionews.com/world/harris-slams-hypocrite-trump-for-his-immoral-abortion-bans-how-dare-they-760573,Harris slams 'hypocrite' Trump for his 'immoral' abortion bans: 'How dare they...',"At a rally in Atlanta, Georgia, Democrat party presidential candidate Kamala Harris blamed Trump for a state law that bans abortion after six weeks, which she said had caused the deaths of two ...",[],https://cdn.wionews.com/sites/default/files/2024/09/21/455926-new-wion-68.png,464587449,1,wionews.com,news,WION,0.1608,eng-9922494,2024-09-21
8330493706,eng,False,2024-09-21,03:59:09,2024-09-21T03:59:09Z,2024-09-21T03:57:50Z,news,0.6863,https://www.bernama.com/en/news.php/?id=2342684,Indonesia's Prabowo Meets Philippine President Marcos,"JAKARTA, Sept 21 (Bernama) -- Indonesian Defence Minister Prabowo Subianto met with Philippine President Ferdinand Marcos Jr. at Malacañang Palace in Manila on Friday, highlighting Indonesia's view ...",[],https://www.bernama.com/storage/photos/a6096b662a6aea4313cb30e902a8310966ee43abb4f80-medium,464587149,1,bernama.com,news,BERNAMA,0.5843,eng-9922073,2024-09-21
8330486925,eng,False,2024-09-21,03:45:57,2024-09-21T03:45:57Z,2024-09-21T03:45:35Z,news,0.0,https://www.lawfaremedia.org/article/the-week-that-was--all-of-lawfare-in-one-post-9-6-24,The Week That Was: All of Lawfare in One Post,"Anna Bower and Roger Parloff shared a dispatch from the E. Barrett Prettyman Federal Courthouse in Washington D.C., where United States v. Donald J. Trump resumed on Thursday. Bower and Parloff laid ...",[],https://lawfare-assets-new.azureedge.net/assets/images/default-source/article-images/lawfare-logo864484c1-b3dc-4cba-9cee-460f877f7cfc.png?sfvrsn=86d51758_3,464586357,1,lawfaremedia.org,news,Default,0.2314,,2024-09-21
2024-09-491758026,eng,True,2024-09-21,03:39:26,2024-09-21T03:39:26Z,2024-09-21T03:39:05Z,news,0.0,https://www.wgowam.com/news/local-teamsters-chapters-endorse-harris/,Local Teamsters Chapters Endorse Harris,"After the main Teamsters union declined to endorse either candidate in the 2024 presidential election, local units decided to make their voices heard.

Nearly 24 local Teamsters unions and joint ...",[],https://www.newsmax.com/Newsmax/files/fd/fda488c8-6428-4044-a6e2-de0c3b2b353c.jpg,464585966,1,wgowam.com,news,WGOW-AM,0.0431,,2024-09-21
2024-09-491758027,eng,True,2024-09-21,03:39:13,2024-09-21T03:39:13Z,2024-09-21T03:39:05Z,news,0.0,https://www.wgowam.com/news/matt-schlapp-to-newsmax-voters-see-govt-programs-as-problem/,Matt Schlapp to Newsmax: Voters See Govt Programs as Problem,"CPAC Chair Matt Schlapp told Newsmax on Friday that as the race for the presidency tightens, the American people know that ""government programs are causing their problems.""

With the 2024 presidential ...",[],https://www.newsmax.com/Newsmax/files/90/90c3732a-6b9c-460f-994e-e78a84c5aef2.jpg,464585953,1,wgowam.com,news,WGOW-AM,-0.098,,2024-09-21
8330482557,eng,True,2024-09-21,03:39:04,2024-09-21T03:39:04Z,2024-09-21T03:38:43Z,news,0.0,http://colombogazette.com/2024/09/21/namal-votes-at-the-2024-presidential-election/,Namal votes at the 2024 Presidential Election,"Sri Lanka Podujana Peramuna (SLPP) Presidential candidate Namal Rajapaksa cast his vote at the 2024 Presidential Election, Saturday.

Rajapaksa was accompanied by his wife Limini.

Voting is underway ...",[],http://colombogazette.com/wp-content/uploads/2024/09/namal-1.jpg,464585944,15,colombogazette.com,news,Colombo Gazette,-0.1137,,2024-09-21
8330481470,eng,False,2024-09-21,03:37:07,2024-09-21T03:37:07Z,2024-09-21T03:36:45Z,news,0.6941,https://colombogazette.com/2024/09/21/namal-votes-at-the-2024-presidential-election/,Namal votes at the 2024 Presidential Election,"Sri Lanka Podujana Peramuna (SLPP) Presidential candidate Namal Rajapaksa cast his vote at the 2024 Presidential Election, Saturday.

Rajapaksa was accompanied by his wife Limini.

Voting is underway ...",[],http://colombogazette.com/wp-content/uploads/2024/09/namal-1.jpg,464585827,15,colombogazette.com,news,Colombo Gazette,-0.1137,eng-9914215,2024-09-21
8330476838,eng,True,2024-09-21,03:31:33,2024-09-21T03:31:33Z,2024-09-21T03:31:03Z,news,0.0,https://gazette.com/news/wex/98-000-arizonans-whose-citizenship-had-not-been-confirmed-can-vote-full-ballot/article_c6f2a10a-9976-5e15-a941-8d7f971dc71b.html,"98,000 Arizonans whose citizenship had not been confirmed can vote full ballot","The Arizona Supreme Court will allow 98,000 people who aren't confirmed citizens of the United States to vote in state and local races, it ruled Friday.

Officials had previously discovered a mistake ...","{'uri': ['washington_examiner@gazette.com'], 'name': ['Washington Examiner'], 'type': ['author'], 'isAgency': [False]}",https://bloximages.newyork1.vip.townnews.com/gazette.com/content/tncms/custom/image/3f755dae-418c-11e8-a244-53852639d709.png?crop=235%2C235%2C1%2C0&resize=200%2C200&order=crop%2Cresize,464585493,1,gazette.com,news,Colorado Springs Gazette,0.2235,,2024-09-21
2024-09-491742222,eng,True,2024-09-21,03:06:07,2024-09-21T03:06:07Z,2024-09-21T03:05:33Z,news,0.0,https://www.kvor.com/news/matt-schlapp-to-newsmax-voters-see-govt-programs-as-problem/,Matt Schlapp to Newsmax: Voters See Govt Programs as Problem,"CPAC Chair Matt Schlapp told Newsmax on Friday that as the race for the presidency tightens, the American people know that ""government programs are causing their problems.""

With the 2024 presidential ...",[],https://www.newsmax.com/Newsmax/files/90/90c3732a-6b9c-460f-994e-e78a84c5aef2.jpg,464583967,1,kvor.com,news,AM 740 KVOR | KVOR-AM,-0.098,,2024-09-21
2024-09-491742221,eng,True,2024-09-21,03:06:05,2024-09-21T03:06:05Z,2024-09-21T03:05:33Z,news,0.0,https://www.kvor.com/news/local-teamsters-chapters-endorse-harris/,Local Teamsters Chapters Endorse Harris,"After the main Teamsters union declined to endorse either candidate in the 2024 presidential election, local units decided to make their voices heard.

Nearly 24 local Teamsters unions and joint ...",[],https://www.newsmax.com/Newsmax/files/fd/fda488c8-6428-4044-a6e2-de0c3b2b353c.jpg,464583965,1,kvor.com,news,AM 740 KVOR | KVOR-AM,0.0431,,2024-09-21
2024-09-491741740,eng,True,2024-09-21,03:03:51,2024-09-21T03:03:51Z,2024-09-21T03:03:35Z,news,0.0,https://www.kboi.com/news/matt-schlapp-to-newsmax-voters-see-govt-programs-as-problem/,Matt Schlapp to Newsmax: Voters See Govt Programs as Problem,"CPAC Chair Matt Schlapp told Newsmax on Friday that as the race for the presidency tightens, the American people know that ""government programs are causing their problems.""

With the 2024 presidential ...",[],https://www.newsmax.com/Newsmax/files/90/90c3732a-6b9c-460f-994e-e78a84c5aef2.jpg,464583831,1,kboi.com,news,KBOI-AM,-0.098,,2024-09-21
2024-09-491741739,eng,True,2024-09-21,03:03:49,2024-09-21T03:03:49Z,2024-09-21T03:03:35Z,news,0.0,https://www.kboi.com/news/local-teamsters-chapters-endorse-harris/,Local Teamsters Chapters Endorse Harris,"After the main Teamsters union declined to endorse either candidate in the 2024 presidential election, local units decided to make their voices heard.

Nearly 24 local Teamsters unions and joint ...",[],https://www.newsmax.com/Newsmax/files/fd/fda488c8-6428-4044-a6e2-de0c3b2b353c.jpg,464583829,1,kboi.com,news,KBOI-AM,0.0431,,2024-09-21
2024-09-491739392,eng,False,2024-09-21,02:57:14,2024-09-21T02:57:14Z,2024-09-21T02:56:39Z,news,0.0,https://www.newsradio1029.com/news/matt-schlapp-to-newsmax-voters-see-govt-programs-as-problem/,Matt Schlapp to Newsmax: Voters See Govt Programs as Problem,"CPAC Chair Matt Schlapp told Newsmax on Friday that as the race for the presidency tightens, the American people know that ""government programs are causing their problems.""

With the 2024 presidential ...",[],https://www.newsmax.com/Newsmax/files/90/90c3732a-6b9c-460f-994e-e78a84c5aef2.jpg,464583434,1,newsradio1029.com,news,Newsradio 102.9 | KARN-FM,-0.098,,2024-09-21
2024-09-491739391,eng,False,2024-09-21,02:57:12,2024-09-21T02:57:12Z,2024-09-21T02:56:39Z,news,0.7647,https://www.newsradio1029.com/news/local-teamsters-chapters-endorse-harris/,Local Teamsters Chapters Endorse Harris,"After the main Teamsters union declined to endorse either candidate in the 2024 presidential election, local units decided to make their voices heard.

Nearly 24 local Teamsters unions and joint ...",[],https://www.newsmax.com/Newsmax/files/fd/fda488c8-6428-4044-a6e2-de0c3b2b353c.jpg,464583432,1,newsradio1029.com,news,Newsradio 102.9 | KARN-FM,0.0431,eng-9921807,2024-09-21
2024-09-491733367,eng,False,2024-09-21,02:39:41,2024-09-21T02:39:41Z,2024-09-21T01:56:28Z,news,0.7294,https://dnyuz.com/2024/09/20/harris-adviser-brushes-off-lack-of-interviews-shes-a-very-busy-person/,Harris adviser brushes off lack of interviews: 'She's a very busy person',"A senior adviser for Vice President Kamala Harris suggested she's too ""busy"" to talk to the press more often as she enters the final weeks of the 2024 presidential election.

Former Atlanta ...",[],https://dnyuz.com/wp-content/uploads/2024/09/Harris-adviser-brushes-off-lack-of-interviews-'Shes-a-very.png,464582381,1,dnyuz.com,news,DNyuz,0.0824,eng-9924274,2024-09-21
8330446327,eng,False,2024-09-21,02:37:34,2024-09-21T02:37:34Z,2024-09-21T02:37:09Z,news,0.6353,https://www.ntd.com/biden-rallies-cabinet-for-final-push-as-his-admin-enters-final-months_1018481.html,Biden Rallies Cabinet for Final Push as His Admin Enters Final Months,"President Joe Biden delivers brief remarks at the top of a cabinet meeting at the White House on Sept. 20, 2024. (Chip Somodevilla/Getty Images)

President Joe Biden on Friday convened his first ...",[],https://i.ntd.com/assets/uploads/2024/09/id1018520-GettyImages-2173385933.jpg,464582254,1,ntd.com,news,NTD,0.1529,eng-9923599,2024-09-21
8330444469,eng,False,2024-09-21,02:34:11,2024-09-21T02:34:11Z,2024-09-21T02:33:40Z,news,0.0,https://www.benzinga.com/news/24/09/40968051/republicans-in-damage-control-mode-after-mark-robinsons-remarks-spark-concern-for-trump-campaign-goi,"Republicans In Damage Control Mode After Mark Robinson's Remarks Spark Concern For Trump Campaign: 'Going To Have An Up-Ballot Effect,' Says GOP Consultant",The Republican party is in a frenzy to control the damage caused by the latest scandal involving North Carolina gubernatorial candidate Mark Robinson. They fear it could ripple beyond the state and ...,"{'uri': ['ananya_gairola@benzinga.com'], 'name': ['Ananya Gairola'], 'type': ['author'], 'isAgency': [False]}",https://cdn.benzinga.com/files/images/story/2024/09/20/Trump-Could-Replace-Powell-If-He-Had-His.jpeg?width=1200&height=800&fit=crop,464582051,15,benzinga.com,news,Benzinga,-0.0431,,2024-09-21
8330441603,eng,False,2024-09-21,02:27:19,2024-09-21T02:27:19Z,2024-09-21T02:26:58Z,news,0.7608,https://www.washingtonexaminer.com/news/campaigns/state/3162165/98000-arizona-citizenship-not-confirmed-vote-full-ballot/,"98,000 Arizonans whose citizenship had not been confirmed can vote full ballot - Washington Examiner","The Arizona Supreme Court will allow 98,000 people who aren't confirmed citizens of the United States to vote in state and local races, it ruled Friday.

Officials had previously discovered a mistake ...","{'uri': ['ross_o_keefe@washingtonexaminer.com'], 'name': [""Ross O'Keefe""], 'type': ['author'], 'isAgency': [False]}",https://www.washingtonexaminer.com/wp-content/uploads/2024/08/AP24212549911271.webp,464581639,1,washingtonexaminer.com,news,Washington Examiner,0.2,eng-9912905,2024-09-21
2024-09-491726650,eng,False,2024-09-21,02:19:06,2024-09-21T02:19:06Z,2024-09-21T01:41:27Z,news,0.0,https://eu.northjersey.com/story/news/2024/09/20/who-will-win-the-presidential-election-what-renowned-historian-says/75289101007/,Historian who predicted 9 of 10 elections makes pick in 2024 presidential race,"Donald Trump and Kamala Harris both sat down for interviews with the National Association of Black Journalists. Here's how it went.

The 2024 presidential election is shaping up to be one of the most ...",[],"https://www.gannett-cdn.com/authoring/authoring-images/2024/09/18/USAT/75280792007-20240917-t-165241-z-812731070-rc-2-lg-9-an-85-yv-rtrmadp-3-usaelectionharris.JPG?auto=webp&crop=3234,1820,x0,y102&format=pjpg&width=1200",464581146,1,northjersey.com,news,North Jersey,-0.0431,,2024-09-21
8330429610,eng,True,2024-09-21,02:05:04,2024-09-21T02:05:04Z,2024-09-21T02:03:19Z,news,0.0,https://conservativeangle.com/trump-says-jewish-people-would-have-a-lot-to-do-with-his-loss-if-that-happens/,Trump says 'Jewish people would have a lot to do' with his loss 'if that happens' - Conservative Angle,"Former President Trump, speaking at two events raising awareness for combating antisemitism, is telegraphing that a loss in the 2024 presidential election largely would be blamed on the American ...",[],https://www.newsnationnow.com/wp-content/uploads/sites/108/2024/09/AP24256801720496-e1726180709936.jpg?w=900,464580304,1,conservativeangle.com,news,Brigitte Gabriel,-0.051,,2024-09-21
8330427544,eng,True,2024-09-21,01:59:46,2024-09-21T01:59:46Z,2024-09-21T01:59:21Z,news,0.0,http://english.sina.com/world/2024-09-21/detail-incpwqxt0249318.shtml,Early in-person voting for 2024 U.S. presidential election begins in three states,"Early in-person voting sites opened throughout the three states of Virginia, Minnesota and South Dakota on Friday, marking the 2024 voting season officially kicked off in the United States.

Videos ...",[],,464579986,1,english.sina.com,news,sina1.com,0.1451,,2024-09-21
8330425984,eng,False,2024-09-21,01:55:55,2024-09-21T01:55:55Z,2024-09-21T01:55:35Z,news,0.0,https://operationdisclosureofficial.com/2024/09/20/shadow-of-ezra-abc-whistleblower-files-complaint-with-the-securities-and-exchange-commission/,Shadow of Ezra: ABC Whistleblower Files Complaint with the Securities and Exchange Commission,"The ABC whistleblower, who alleged that Kamala Harris was given the Presidential debate questions in advance by ABC News, has officially filed a complaint with the SEC today.

The Securities and ...",[],https://i0.wp.com/operationdisclosureofficial.com/wp-content/uploads/2024/02/ouO0x9-k_400x400.jpg?fit=400%2C400&ssl=1&w=640,464579755,1,operationdisclosureofficial.com,news,Operation Disclosure Official,0.0431,,2024-09-21
8330421947,eng,True,2024-09-21,01:47:27,2024-09-21T01:47:27Z,2024-09-21T01:47:04Z,news,0.0,http://colombogazette.com/2024/09/21/voting-underway-in-sri-lanka-to-elect-next-president/,Voting underway in Sri Lanka to elect next President,"Voting is underway in Sri Lanka to elect the country's next President with polling centers opening the doors from 7am to 4pm, Saturday.

Over 17 million registered voters will look to pick their ...",[],http://colombogazette.com/wp-content/uploads/2023/02/vote-election.jpg,464579247,1,colombogazette.com,news,Colombo Gazette,-0.0353,,2024-09-21
8330421359,eng,False,2024-09-21,01:46:56,2024-09-21T01:46:56Z,2024-09-21T01:45:44Z,news,0.6745,https://www.foxnews.com/media/harris-adviser-brushes-off-lack-interviews-shes-very-busy-person,Harris adviser brushes off lack of interviews: 'She's a very busy person',"Harris-Walz campaign senior adviser Keisha Lance Bottoms defended the relatively small number of unscripted media appearances done by Vice President Kamala Harris.

A senior adviser for Vice President ...","{'uri': ['joseph_wulfsohn@foxnews.com'], 'name': ['Joseph Wulfsohn'], 'type': ['author'], 'isAgency': [False]}",https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2024/09/1024/512/Harris-Walz-adviser.png?ve=1&tl=1,464579216,1,foxnews.com,news,Fox News,0.1216,eng-9924274,2024-09-21
