uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,image,eventUri,sentiment,wgt,relevance,source.uri,source.dataType,source.title
8273373040,eng,False,2024-08-13,22:03:11,2024-08-13T22:03:11Z,2024-08-13T21:51:03Z,news,0.5922,https://kion546.com/cnn-opinion/2024/08/13/how-elon-musk-has-turned-x-into-a-pro-trump-machine/,How Elon Musk has turned X into a pro-Trump machine - KION546,"New York (CNN) -- Nearly two years after Elon Musk bought Twitter and turned it into X, the billionaire is leveraging its power as a source of real-time news for millions of users to try to sway the ...","{'uri': ['cnn_newsource@kion546.com'], 'name': ['Cnn Newsource'], 'type': ['author'], 'isAgency': [False]}",https://kion546.b-cdn.net/2023/10/kionlogog-860x540.jpg,eng-9813909,0.0902,461282591,1,kion546.com,news,KION546
8273366559,eng,False,2024-08-13,21:43:22,2024-08-13T21:43:22Z,2024-08-13T21:42:39Z,news,0.0,https://abc7ny.com/post/ny-ag-letitia-james-calls-large-tech-companies-protect-voters-form-election-related-misinformation/15182364/,New York AG calls on large tech companies to protect voters from election misinformation,"NEW YORK (WABC) -- New York Attorney General Letitia James is asking nearly a dozen large tech companies to take meaningful steps to protect voters from election-related misinformation, according to a ...",[],https://cdn.abcotvs.com/dip/images/15182599_081324-wabc-tech-companies-img.jpg?w=1600,,0.098,461281402,1,abc7ny.com,news,ABC7 New York
8273359803,eng,False,2024-08-13,21:36:10,2024-08-13T21:36:10Z,2024-08-13T21:35:11Z,news,0.4745,https://www.out.com/out-exclusives/rupauls-drag-race-queens-reading-challenge-jd-vance-photos,The library is open! Drag queens read JD Vance's drag pics to filth,"This week, social media influencer and political commentator Matt Bernstein received alleged pictures of JD Vance dressed in drag (or, as some have described, cross-dressing).

Given that Vance is ...",[],https://www.out.com/media-library/jackie-beat-jd-vance-alaska.jpg?id=53173610&width=1200&height=600&coordinates=0%2C39%2C0%2C39,eng-9809748,-0.2627,461280970,1,out.com,news,Out
8273334493,eng,False,2024-08-13,21:11:17,2024-08-13T21:11:17Z,2024-08-13T21:05:53Z,news,0.0,https://www.naturalnews.com/2024-08-13-milwaukee-election-director-voter-fraud-2020-terminated.html,"Milwaukee election director suspected of committing voter fraud in 2020 TERMINATED, but not arrested   - NaturalNews.com","On election night, Woodall-Vogg and her colleagues joked in emails about how they were deliberately flipping the state from Donald Trump to Biden through voter fraud.

""D***, Claire, you have a flair ...",[],https://www.naturalnews.com/wp-content/uploads/sites/91/2024/08/wisconsin-dump-votes.jpg,,-0.0196,461279477,1,naturalnews.com,news,NaturalNews.com
2024-08-453389892,eng,False,2024-08-13,21:09:48,2024-08-13T21:09:48Z,2024-08-13T21:00:02Z,news,0.6078,https://www.cnn.com/2024/08/13/tech/elon-musk-donald-trump-x/index.html,How Elon Musk has turned X into a pro-Trump machine,"Nearly two years after Elon Musk bought Twitter and turned it into X, the billionaire is leveraging its power as a source of real-time news for millions of users to try to sway the outcome of the 2024 ...","{'uri': ['clare_duffy@cnn.com'], 'name': ['Clare Duffy'], 'type': ['author'], 'isAgency': [False]}","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2158237831.jpg?c=16x9&q=w_800,c_fill",eng-9813909,0.098,461279388,1,cnn.com,news,CNN
8273334499,eng,False,2024-08-13,21:08:33,2024-08-13T21:08:33Z,2024-08-13T21:05:53Z,news,0.6941,https://www.naturalnews.com/2024-08-13-biden-warns-of-possible-bloodbath-if-trump-loses.html,"Biden warns of possible ""bloodbath"" if Trump wins (or loses)   - NaturalNews.com","In a recent interview on ""CBS Sunday Morning"" with Robert Costa on Aug. 7, Biden said: ""If Trump wins, no I'm not confident at all - I mean - if Trump loses I'm not confident at all,"" said Biden, ...",[],https://www.naturalnews.com/wp-content/uploads/sites/91/2024/08/Joe-Biden-Address-Nation.jpg,eng-9809148,-0.2471,461279313,1,naturalnews.com,news,NaturalNews.com
8273328000,eng,False,2024-08-13,21:00:52,2024-08-13T21:00:52Z,2024-08-13T20:59:43Z,news,0.6667,https://www.newsweek.com/hunter-biden-trial-update-tax-fraud-1938776,Hunter Biden trial update: Major developments in tax fraud case,"Hunter Biden's tax trial will kick off in Los Angeles next month as the prosecution and defense continue to iron out details.

Prosecutors claim the president's son, 54, failed to pay $1.4 million in ...","{'uri': ['erin_keller@newsweek.com'], 'name': ['Erin Keller'], 'type': ['author'], 'isAgency': [False]}",https://d.newsweek.com/en/full/2449262/hunter-biden-trial-2024.webp?w=1600&h=900&q=88&f=ca5b630e47338e6652c65a9142bdf2c5,eng-9810812,-0.1843,461278852,1,newsweek.com,news,Newsweek
2024-08-453379587,eng,False,2024-08-13,20:53:34,2024-08-13T20:53:34Z,2024-08-13T20:01:24Z,news,0.0,https://libbysuethewriter.medium.com/reclaiming-our-freedoms-the-promise-of-kamala-harris-776f3be51f4b,Reclaiming Our Freedoms: The Promise of Kamala Harris,"As we navigate a time of deep division and uncertainty in the United States, the 2024 presidential election offers a critical opportunity to restore and expand the freedoms that have been eroded in ...","{'uri': ['libby_winkler@libbysuethewriter.medium.com'], 'name': ['Libby Winkler'], 'type': ['author'], 'isAgency': [False]}",https://miro.medium.com/v2/da:true/resize:fit:1200/0*cmF0fbdSDxD2eo3-,,0.3647,461278414,1,libbysuethewriter.medium.com,news,Medium
8273302406,eng,False,2024-08-13,20:36:14,2024-08-13T20:36:14Z,2024-08-13T20:31:58Z,news,0.7412,https://www.newsweek.com/abortion-rights-initiative-certified-missouris-november-ballot-1938786,Abortion rights initiative certified for Missouri's November ballot,"Missouri's Right to Reproductive Freedom, the ballot initiative to enshrine abortion rights, was certified on Tuesday to be on the state's November 2024 ballot.

On Tuesday, Missouri Secretary of ...","{'uri': ['natalie_venegas@newsweek.com'], 'name': ['Natalie Venegas'], 'type': ['author'], 'isAgency': [False]}",https://d.newsweek.com/en/full/2449281/abortion-rights-protest.webp?w=1600&h=900&q=88&f=4ddfde10a0ace6a35b9d03445f6a1a2a,eng-9810421,0.3725,461277374,1,newsweek.com,news,Newsweek
2024-08-453368359,eng,False,2024-08-13,20:35:41,2024-08-13T20:35:41Z,2024-08-13T20:35:25Z,news,0.0,https://www.democraticunderground.com/10143289933,New York AG Letitia James warns tech giants against allowing election-related misinformation,"Source: ABC News

August 13, 2024, 5:05 AM

New York Attorney General Letitia James is asking nearly a dozen large tech companies to take meaningful steps to protect voters from election-related ...",[],,,-0.1294,461277341,1,democraticunderground.com,news,Democratic Underground
8273301745,eng,False,2024-08-13,20:31:47,2024-08-13T20:31:47Z,2024-08-13T20:31:14Z,news,0.0,https://www.nature.com/articles/s41599-024-03529-w,Illiberal attitudes among US state legislative candidates - Humanities and Social Sciences Communications,"The survey instrument solicited information about candidates that could not be readily obtained from public records, such as demographic information and issue attitudes. We then asked candidates three ...",[],https://media.springernature.com/m685/springer-static/image/art%3A10.1057%2Fs41599-024-03529-w/MediaObjects/41599_2024_3529_Fig1_HTML.png,,0.2471,461277107,1,nature.com,news,Nature
8273285362,eng,False,2024-08-13,20:14:23,2024-08-13T20:14:23Z,2024-08-13T20:13:45Z,news,0.6549,https://nypost.com/2024/08/13/entertainment/bowen-yang-says-male-snl-host-made-cast-members-cry/,Bowen Yang says male 'SNL' host made cast members 'cry': 'He...,"Bowen Yang, 33, revealed that one male celebrity was badly behaved when he hosted ""Saturday Night Live.""

Yang has been with ""SNL"" since 2018, first as a writer and then as a cast member. He also made ...",[],https://nypost.com/wp-content/uploads/sites/2/2024/08/87721618.jpg?quality=75&strip=all&w=1024,eng-9811674,-0.1137,461276063,1,nypost.com,news,New York Post
8273281867,eng,False,2024-08-13,20:11:26,2024-08-13T20:11:26Z,2024-08-13T20:10:10Z,news,0.5725,https://www.democraticunderground.com/100219328902,Wow !!! - Judge Chutkan faces call to seize Trump's passport after threat to flee to Venezuela,"George Washington Law Professor Randall Eliason, a former federal prosecutor, called on U.S. District Court Judge Tanya Chutkan to seize Donald Trump's passport after he suggested that he might flee ...",[],,eng-9813697,-0.2235,461275886,1,democraticunderground.com,news,Democratic Underground
8273261323,eng,False,2024-08-13,19:52:32,2024-08-13T19:52:32Z,2024-08-13T19:51:37Z,news,0.498,https://www.independent.co.uk/news/world/americas/us-politics/tim-walz-harris-campaign-speech-la-b2595866.html,Watch live: Tim Walz speaks at first solo campaign event without Kamala Harris,"The current vice president has recorded a video message to be played to the 1.4 million-member labour group, which has given support to the Democratic Party ticket in the 2024 presidential ...",[],https://static.independent.co.uk/2024/08/10/01/AP24223015581698.jpg?quality=75&width=1200&auto=webp,eng-9813985,0.1843,461274752,1,independent.co.uk,news,The Independent
8273244127,eng,False,2024-08-13,19:34:27,2024-08-13T19:34:27Z,2024-08-13T19:33:51Z,news,0.0,https://www.benzinga.com/general/politics/24/08/40349586/musk-trump-hit-with-uaw-labor-charges-following-union-busting-remarks-tesla-ceo-suggests-uaw-pre,"Musk, Trump Hit With UAW Labor Charges Following Union-Busting Remarks: Tesla CEO Suggests UAW President Could Land In Prison - Tesla (NASDAQ:TSLA)","Musk claims UAW President Fain could face prison amid ongoing investigations.

A multi-hour conversation between Tesla Inc TSLA CEO Elon Musk and former President Donald Trump included comments about ...","{'uri': ['chris_katje@benzinga.com'], 'name': ['Chris Katje'], 'type': ['author'], 'isAgency': [False]}",https://cdn.benzinga.com/files/images/story/2024/08/13/Trump-Says-Kim-Jong-Un-Called-President-_0.jpeg?width=1200&height=800&fit=crop,,-0.1686,461273667,13,benzinga.com,news,Benzinga
8273236705,eng,False,2024-08-13,19:27:36,2024-08-13T19:27:36Z,2024-08-13T19:25:47Z,news,0.6078,https://thenewamerican.com/news/trumps-x-interview-reaches-more-than-1-billion-people/,Trump's X Interview Reaches More Than 1 Billion People,"Following former President Donald Trump's interview with Elon Musk Monday night, X announced the conversation received 73 million views, and stated that more than four million posts about the ...","{'uri': ['d_michael_deridder@thenewamerican.com'], 'name': ['D. Michael DeRidder'], 'type': ['author'], 'isAgency': [False]}",https://thenewamerican.com/assets/sites/2/2024/musk_trump_x.jpg,eng-9813909,-0.0275,461273256,1,thenewamerican.com,news,The New American
8273233511,eng,False,2024-08-13,19:25:58,2024-08-13T19:25:58Z,2024-08-13T19:22:39Z,news,0.0,https://www.democraticunderground.com/100219328751,Seeds,"""Every civilization carries the seeds of its own destruction, and the same cycle shows in them all. The Republic is born, flourishes, decays into plutocracy, and is captured by the shoemaker whom the ...",[],,,-0.098,461273158,1,democraticunderground.com,news,Democratic Underground
8273234514,eng,False,2024-08-13,19:25:25,2024-08-13T19:25:25Z,2024-08-13T19:23:41Z,news,0.0,https://www.fox5atlanta.com/news/decatur-board-education-swears-first-ever-student-representative,Decatur Board of Education swears in first-ever student representative,"DECATUR, Ga. - Decatur High School senior Sophia D'Elena will become the first-ever student representative to sit on the Board of Education for the City Schools of Decatur.

Her duties will include ...",[],https://images.foxtv.com/static.fox5atlanta.com/www.fox5atlanta.com/content/uploads/2020/11/1280/720/5P-Miston-Racine-Schools-PKG-11_17_WITIc16f_186_mp_00.00.25.28.png?ve=1&tl=1,,0.1686,461273125,1,fox5atlanta.com,news,FOX 5 Atlanta
8273226343,eng,False,2024-08-13,19:15:32,2024-08-13T19:15:32Z,2024-08-13T19:15:12Z,news,0.0,https://www.snopes.com//fact-check/trump-musk-old-president/,Musk Once Said Trump Would Be 'Too Old' at End of 2nd Term To Be President?,"Musk did say this on X in July 2022, but it was only one half of his post. The second half read: ""If [Ron] DeSantis runs against Biden in 2024, then DeSantis will easily win - he doesn't even need to ...",[],https://mediaproxy.snopes.com/width/1200/https://media.snopes.com/2024/08/trump_musk.png,,0.2784,461272532,1,snopes.com,news,Snopes
8273221896,eng,False,2024-08-13,19:11:19,2024-08-13T19:11:19Z,2024-08-13T19:10:39Z,news,0.8157,https://www.inforum.com/news/minnesota/national-bobblehead-museum-to-debut-walz-vance-bobbleheads,"National Bobblehead Museum to debut Walz, Vance bobbleheads","MILWAUKEE -- Vice presidential candidates Tim Walz and J.D. Vance are joining a collection of more than 15,000 bobbleheads in the Brew City.

The National Bobblehead Hall of Fame and Museum in ...",[],https://cdn.forumcomm.com/dims4/default/93a555b/2147483647/strip/true/crop/1595x1063+0+0/resize/1600x1066!/quality/90/?url=https%3A%2F%2Fforum-communications-production-web.s3.us-west-2.amazonaws.com%2Fbrightspot%2Ffe%2Fdf%2Fbe5f4525435fb317440685232e05%2Fwalz-vance-bobbles.jpg,eng-9814537,0.1216,461272279,1,inforum.com,news,INFORUM
8273219689,eng,False,2024-08-13,19:10:22,2024-08-13T19:10:22Z,2024-08-13T19:08:19Z,news,0.0,https://www.dailymirror.lk/news-features/Presidential-elections-and-perks-Is-being-an-elections-candidate-akin-to-winning-a-lottery/131-289463,Presidential elections and perks! Is being an  elections'  candidate akin to winning a lottery?,"Apart from gaining publicity lesser known candidates could also contest for ambassadorial and governor positions

As in every other Presidential race, the public is expected to browse through a long ...",[],https://bmkltsly13vb.compat.objectstorage.ap-singapore-1.oraclecloud.com/cdn.sg.dailymirror.lk/assets/uploads/image_3c2b277091.jpg,,0.5765,461272222,1,dailymirror.lk,news,Daily Mirror
8273211256,eng,False,2024-08-13,19:02:08,2024-08-13T19:02:08Z,2024-08-13T19:00:43Z,news,0.5373,https://www.brookings.edu/articles/how-will-climate-cooperation-look-after-the-elections/,How will climate cooperation look after the elections? | Brookings,"COP President Sultan Ahmed al-Jaber makes an announcement in the plenary chamber of the U.N. Climate Change Conference, 13 Dec., 2023. (IMAGO/Achille Abboud via Reuters Connect)

Although there's been ...",[],https://www.brookings.edu/wp-content/uploads/2024/08/2023-12-13T000000Z_643832521_MT1IMGOST000KEGHFA_RTRMADP_3_IMAGO-IMAGES.jpg?quality=75,eng-9808651,0.1216,461271728,1,brookings.edu,news,Brookings
2024-08-453303243,eng,True,2024-08-13,18:54:03,2024-08-13T18:54:03Z,2024-08-13T17:36:19Z,news,0.0,https://eu.tennessean.com/story/news/politics/2024/08/13/tina-peters-verdict-convicted-tampering-voting-machines-2020-election/74778508007/,Election-denying Colorado official convicted of 3 felonies linked to conspiracy theories,"A 12-person Colorado jury convicted a former Republican county clerk of seven criminal charges Monday including felony attempt to influence a public servant, earmarking another conviction tied to ...",[],"https://www.gannett-cdn.com/authoring/authoring-images/2024/08/13/USAT/74778614007-20220629-t-034349-z-1666167562-rc-2-d-1-v-9-x-8-f-7-q-rtrmadp-3-usaelectioncolorado.JPG?auto=webp&crop=3637,2046,x0,y3409&format=pjpg&width=1200",,-0.6784,461271243,1,tennessean.com,news,The Tennessean
2024-08-453303253,eng,False,2024-08-13,18:54:03,2024-08-13T18:54:03Z,2024-08-13T18:37:46Z,news,0.0,https://eu.clarionledger.com/story/news/2024/08/13/jackson-ms-man-killed-in-crash-with-garbage-truck/74784477007/,Jackson man dies after crash with garbage truck in Scott County,"Calling 911 is for emergencies only, but what counts as an emergency?

A Jackson resident died after colliding with a garbage truck Monday morning in Scott County.

Paul Johnson, 44, of Jackson was ...",[],https://www.gannett-cdn.com/-mm-/dd6ba755cf18f331cf35f5b51d2c7f91e0021397/c=0-60-1899-1133/local/-/media/2017/06/23/JacksonMS/JacksonMS/636338315445463787-Police-lights-Getty-Images.jpg?auto=webp&format=pjpg&width=1200,,-0.3412,461271243,1,eu.clarionledger.com,news,The Clarion-Ledger
2024-08-453303274,eng,True,2024-08-13,18:54:01,2024-08-13T18:54:01Z,2024-08-13T17:36:19Z,news,0.0,https://eu.press-citizen.com/story/news/politics/2024/08/13/tina-peters-verdict-convicted-tampering-voting-machines-2020-election/74778508007/,Election-denying Colorado official convicted of 3 felonies linked to conspiracy theories,"A 12-person Colorado jury convicted a former Republican county clerk of seven criminal charges Monday including felony attempt to influence a public servant, earmarking another conviction tied to ...",[],"https://www.gannett-cdn.com/authoring/authoring-images/2024/08/13/USAT/74778614007-20220629-t-034349-z-1666167562-rc-2-d-1-v-9-x-8-f-7-q-rtrmadp-3-usaelectioncolorado.JPG?auto=webp&crop=3637,2046,x0,y3409&format=pjpg&width=1200",,-0.6784,461271241,1,press-citizen.com,news,Iowa City Press-Citizen
2024-08-453300758,eng,True,2024-08-13,18:49:53,2024-08-13T18:49:53Z,2024-08-13T17:36:19Z,news,0.0,https://eu.montgomeryadvertiser.com/story/news/politics/2024/08/13/tina-peters-verdict-convicted-tampering-voting-machines-2020-election/74778508007/,Election-denying Colorado official convicted of 3 felonies linked to conspiracy theories,"A 12-person Colorado jury convicted a former Republican county clerk of seven criminal charges Monday including felony attempt to influence a public servant, earmarking another conviction tied to ...",[],"https://www.gannett-cdn.com/authoring/authoring-images/2024/08/13/USAT/74778614007-20220629-t-034349-z-1666167562-rc-2-d-1-v-9-x-8-f-7-q-rtrmadp-3-usaelectioncolorado.JPG?auto=webp&crop=3637,2046,x0,y3409&format=pjpg&width=1200",,-0.6784,461270993,1,eu.montgomeryadvertiser.com,news,The Montgomery Advertiser
8273198010,eng,False,2024-08-13,18:48:29,2024-08-13T18:48:29Z,2024-08-13T18:47:48Z,news,0.0,https://www.foxnews.com/opinion/donald-trump-almost-assassinated-one-month-ago-our-media-has-moved-on-voters-have-not,Donald Trump was almost assassinated one month ago. Our media has moved on. Voters have not,"By entering your email and pushing continue, you are agreeing to Fox News' Terms of Use and Privacy Policy, which includes our Notice of Financial Incentive.

It was one month ago, in the tiny town of ...","{'uri': ['david_marcus@foxnews.com'], 'name': ['David Marcus'], 'type': ['author'], 'isAgency': [False]}",https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2024/07/1024/512/Donald-Trump-Butler-PA-Shooting_69.jpg?ve=1&tl=1,,-0.0431,461270909,13,foxnews.com,news,Fox News
8273193652,eng,True,2024-08-13,18:46:20,2024-08-13T18:46:20Z,2024-08-13T18:43:12Z,news,0.0,https://dnyuz.com/2024/08/13/the-most-outrageous-conspiracy-theories-of-the-election-yet/,The Most Outrageous Conspiracy Theories of the Election Yet,"From the assassination attempt on Donald Trump's life to Joe Biden's sudden withdrawal from the presidential race, the past month has offered ample material for the most paranoid creatives among us to ...",[],https://dnyuz.com/wp-content/uploads/2024/08/The-Most-Outrageous-Conspiracy-Theories-of-the-Election-Yet.gif,,-0.1373,461270780,1,dnyuz.com,news,DNyuz
2024-08-453288957,eng,True,2024-08-13,18:34:08,2024-08-13T18:34:08Z,2024-08-13T17:36:19Z,news,0.0,https://eu.fdlreporter.com/story/news/politics/2024/08/13/tina-peters-verdict-convicted-tampering-voting-machines-2020-election/74778508007/,Election-denying Colorado official convicted of 3 felonies linked to conspiracy theories,"A 12-person Colorado jury convicted a former Republican county clerk of seven criminal charges Monday including felony attempt to influence a public servant, earmarking another conviction tied to ...",[],"https://www.gannett-cdn.com/authoring/authoring-images/2024/08/13/USAT/74778614007-20220629-t-034349-z-1666167562-rc-2-d-1-v-9-x-8-f-7-q-rtrmadp-3-usaelectioncolorado.JPG?auto=webp&crop=3637,2046,x0,y3409&format=pjpg&width=1200",,-0.6784,461270048,1,fdlreporter.com,news,The Reporter
2024-08-453287278,eng,True,2024-08-13,18:31:09,2024-08-13T18:31:09Z,2024-08-13T17:36:19Z,news,0.0,https://eu.elpasotimes.com/story/news/politics/2024/08/13/tina-peters-verdict-convicted-tampering-voting-machines-2020-election/74778508007/,Election-denying Colorado official convicted of 3 felonies linked to conspiracy theories,"A 12-person Colorado jury convicted a former Republican county clerk of seven criminal charges Monday including felony attempt to influence a public servant, earmarking another conviction tied to ...",[],"https://www.gannett-cdn.com/authoring/authoring-images/2024/08/13/USAT/74778614007-20220629-t-034349-z-1666167562-rc-2-d-1-v-9-x-8-f-7-q-rtrmadp-3-usaelectioncolorado.JPG?auto=webp&crop=3637,2046,x0,y3409&format=pjpg&width=1200",,-0.6784,461269869,1,eu.elpasotimes.com,news,El Paso Times
